"set_id","station","strata_strate","season_saison","total_count","tot_wt_g","shannon_index","species_richness","wet_weight","dry_weight","water_content_ratio","sand_pct","fine_sand_pct","silt_clay_pct","air_dry_wt","oven_dry_wt","loss_ash1","loss_ash2","tot_perc_loss__","depth_m_profondeur_m"
"2010.02.001",1,"channel","Winter",23.5,6407,1.71084064761131,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1
"2010.02.002",2,"channel","Winter",15.0833333333333,6196,1.81071708582242,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"2010.02.003",3,"channel","Winter",15.1388888888889,4307,2.37305381800299,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5
"2010.02.004",4,"channel","Winter",18.375,5947,2.15638001070492,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"2010.02.005",5,"channel","Winter",29.65,6531,2.20358225736583,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"2010.02.006",6,"channel","Winter",58.5789473684211,6418,1.38232141116591,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
"2010.02.007",7,"channel","Winter",67.2083333333333,5996,1.72258374157523,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9
"2010.02.008",8,"channel","Winter",24.9565217391304,6818,1.43280560531847,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
"2010.02.009",9,"channel","Winter",24.7222222222222,5809,1.6001544783916,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"2010.02.010",10,"channel","Winter",30.6842105263158,5912,1.69687603866447,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
"2010.02.011",11,"subtidal","Winter",11.4583333333333,1768,2.49811983650945,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2010.02.012",12,"subtidal","Winter",13.2692307692308,1811,2.07321148576085,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"2010.02.013",13,"subtidal","Winter",77.448275862069,5132,1.80454313915671,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4
"2010.02.014",14,"subtidal","Winter",25.5263157894737,1868,1.77022796858197,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1
"2010.02.015",15,"subtidal","Winter",137.653846153846,6733,0.919462303288617,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5
"2010.02.016",16,"subtidal","Winter",30.7826086956522,1808,1.61467805062475,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2
"2010.02.017",17,"subtidal","Winter",11.75,1189,1.84620102479952,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9
"2010.02.018",18,"subtidal","Winter",31.4333333333333,6403,1.95874360049676,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5
"2010.02.019",19,"subtidal","Winter",6.56521739130435,1160,2.49304968558762,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4
"2010.02.020",20,"subtidal","Winter",12.2857142857143,2445,2.00467085342883,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5
"2010.02.021",21,"intertidal","Winter",20.8695652173913,1058,1.82559659644247,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2
"2010.02.022",22,"intertidal","Winter",1195.73333333333,4938,0.581277526418628,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7
"2010.02.023",23,"intertidal","Winter",11.2272727272727,4051,2.21439892382956,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5
"2010.02.024",24,"intertidal","Winter",16,3515,1.82231813722035,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"2010.02.025",25,"intertidal","Winter",735.888888888889,4777,1.75259374728435,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8
"2010.02.026",26,"intertidal","Winter",113.703703703704,4782,1.56621862995409,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1
"2010.02.027",27,"intertidal","Winter",1571.46666666667,5602,1.46010574997581,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2010.02.028",28,"intertidal","Winter",43,3634,1.68750632665672,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2010.02.029",29,"intertidal","Winter",16.3478260869565,883,1.37475328562084,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2
"2010.02.030",30,"intertidal","Winter",205.05,1855,1.579025967584,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9
"2010.08.001",1,"intertidal","Summer",12,914,0.903901670812973,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2010.08.002",2,"subtidal","Summer",8.90909090909091,3159,1.49643870205774,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8
"2010.08.003",3,"subtidal","Summer",3.35714285714286,2429,2.14824872280811,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"2010.08.004",4,"intertidal","Summer",7.26666666666667,2137,2.00825014833143,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6
"2010.08.005",5,"intertidal","Summer",4.90909090909091,572,1.83665282034965,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3
"2010.08.006",6,"intertidal","Summer",67.28,5258,1.23000157410573,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3
"2010.08.007",7,"intertidal","Summer",82.4782608695652,4168,1.29896404431544,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1
"2010.08.008",8,"intertidal","Summer",5.14285714285714,1152,2.10441656436813,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"2010.08.009",9,"intertidal","Summer",13.9,5251,1.90948186865273,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2010.08.010",10,"intertidal","Summer",7.08,3812,2.12644957117485,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2010.08.011",11,"channel","Summer",4.25,2661,2.09465224221112,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2
"2010.08.012",12,"channel","Summer",7.07692307692308,5683,2.0628407940421,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1
"2010.08.013",13,"channel","Summer",9.4375,2695,1.91927750534663,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8
"2010.08.014",14,"channel","Summer",6.35714285714286,453,1.81066720982536,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3
"2010.08.015",15,"channel","Summer",5.05,3927,2.69060429263095,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9
"2010.08.016",16,"channel","Summer",4.06666666666667,3502,2.20708678582701,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1
"2010.08.017",17,"channel","Summer",3,2987,1.98481878443065,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7
"2010.08.018",18,"channel","Summer",7.64705882352941,3205,1.51555445091309,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9
"2010.08.019",19,"channel","Summer",10,2962,1.73500450810913,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"2010.08.020",20,"channel","Summer",3,1991,1.75466995739005,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1
"2010.08.021",21,"intertidal","Summer",3.71428571428571,1962,1.65809923782915,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7
"2010.08.022",22,"intertidal","Summer",1.25,269,1.33217904021012,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7
"2010.08.023",23,"subtidal","Summer",2.57142857142857,3299,2.22554108346879,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2010.08.024",24,"subtidal","Summer",8.25,4024,1.67848717977683,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6
"2010.08.025",25,"subtidal","Summer",18.1176470588235,4915,1.61342695068889,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6
"2010.08.026",26,"subtidal","Summer",7.42857142857143,1690,1.87338381788747,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1
